Cast Vote Record,Precinct,Ballot Style,Rep. to Congress District 2 1st Choice,Rep. to Congress District 2 2nd Choice,Rep. to Congress District 2 3rd Choice,Rep. to Congress District 2 4th Choice,Rep. to Congress District 2 5th Choice
2064,1,999,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce",undervote
2065,1,999,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
2066,1,999,"REP Poliquin, Bruce",undervote,undervote,undervote,undervote
2067,1,999,"REP Poliquin, Bruce",undervote,undervote,undervote,undervote
2068,1,999,"DEM Golden, Jared F.","Bond, Tiffany L.",undervote,undervote,undervote
2069,1,999,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote,"REP Poliquin, Bruce"
2070,1,999,"DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L.",undervote,undervote
2071,1,999,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
2072,1,999,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
2073,1,999,"REP Poliquin, Bruce",undervote,undervote,undervote,undervote
2074,1,999,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
2075,1,999,"Bond, Tiffany L.","DEM Golden, Jared F.","Hoar, William R.S.",undervote,undervote
2076,1,999,"Bond, Tiffany L.","DEM Golden, Jared F.","Hoar, William R.S.",undervote,undervote
2077,1,999,"DEM Golden, Jared F.","Bond, Tiffany L.",undervote,undervote,undervote
2078,1,999,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
2079,1,999,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce",undervote
2080,1,999,"DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L.","REP Poliquin, Bruce",undervote
2081,1,999,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
2082,1,999,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote,"REP Poliquin, Bruce"
2083,1,999,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
2084,1,999,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
2085,1,999,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
2086,1,999,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
2087,1,999,"DEM Golden, Jared F.","REP Poliquin, Bruce","Bond, Tiffany L.","Hoar, William R.S.",undervote
2088,1,999,"DEM Golden, Jared F.","Hoar, William R.S.",undervote,undervote,undervote
2089,1,999,"Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote,undervote
2090,1,999,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
2091,1,999,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
2092,1,999,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
2093,1,999,"Bond, Tiffany L.","DEM Golden, Jared F.",undervote,undervote,undervote
2094,1,999,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
2095,1,999,"Bond, Tiffany L.","DEM Golden, Jared F.","Hoar, William R.S.",undervote,undervote
2096,1,999,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
2097,1,999,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
2098,1,999,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
2099,1,999,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
2100,1,999,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce",undervote
2101,1,999,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
2102,1,999,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
2103,1,999,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce",undervote
2104,1,999,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
2105,1,999,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce",undervote
2106,1,999,"Bond, Tiffany L.","DEM Golden, Jared F.",undervote,undervote,undervote
2107,1,999,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
2108,1,999,"DEM Golden, Jared F.","Bond, Tiffany L.",undervote,undervote,undervote
2109,1,999,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
2110,1,999,"DEM Golden, Jared F.","Hoar, William R.S.",undervote,undervote,undervote
2111,1,999,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
2112,1,999,"DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L.",undervote,"REP Poliquin, Bruce"
2113,1,999,"DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L.",undervote,undervote
2114,1,999,"REP Poliquin, Bruce",undervote,undervote,undervote,undervote
2115,1,999,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
2116,1,999,"Bond, Tiffany L.",undervote,undervote,undervote,undervote
2117,1,999,"Bond, Tiffany L.",undervote,undervote,undervote,undervote
2118,1,999,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
2119,1,999,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce",undervote
2120,1,999,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
2121,1,999,"DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L.","REP Poliquin, Bruce",undervote
2122,1,999,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
