Cast Vote Record,Precinct,Ballot Style,Rep. to Congress District 2 1st Choice,Rep. to Congress District 2 2nd Choice,Rep. to Congress District 2 3rd Choice,Rep. to Congress District 2 4th Choice,Rep. to Congress District 2 5th Choice
566,997,997,"REP Poliquin, Bruce",undervote,undervote,undervote,undervote
567,997,997,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
568,997,997,"DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L.",undervote,undervote
569,997,997,"DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L.","REP Poliquin, Bruce",undervote
570,997,997,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce",undervote
571,997,997,"Bond, Tiffany L.","DEM Golden, Jared F.","Hoar, William R.S.","REP Poliquin, Bruce",undervote
572,997,997,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
573,997,997,"DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L.",undervote,"REP Poliquin, Bruce"
574,997,997,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
575,997,997,"DEM Golden, Jared F.","REP Poliquin, Bruce","Hoar, William R.S.","Bond, Tiffany L.",undervote
576,997,997,"Bond, Tiffany L.","DEM Golden, Jared F.",undervote,undervote,undervote
577,997,997,"REP Poliquin, Bruce",undervote,undervote,undervote,undervote
578,997,997,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
579,997,997,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
580,997,997,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce",undervote
581,997,997,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
582,997,997,"DEM Golden, Jared F.","Bond, Tiffany L.",undervote,undervote,undervote
583,997,997,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
584,997,997,"REP Poliquin, Bruce",undervote,undervote,undervote,undervote
585,997,997,"REP Poliquin, Bruce",undervote,undervote,undervote,undervote
586,997,997,"DEM Golden, Jared F.","Bond, Tiffany L.",undervote,undervote,undervote
587,997,997,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
588,997,997,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
589,997,997,"DEM Golden, Jared F.","Bond, Tiffany L.",undervote,undervote,undervote
590,997,997,"REP Poliquin, Bruce",undervote,undervote,undervote,undervote
591,997,997,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
592,997,997,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
593,997,997,"DEM Golden, Jared F.","Bond, Tiffany L.",undervote,undervote,undervote
594,997,997,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce",undervote
595,997,997,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce",undervote
596,997,997,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote,"REP Poliquin, Bruce"
597,997,997,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce",undervote
598,997,997,"REP Poliquin, Bruce","Hoar, William R.S.","Bond, Tiffany L.",undervote,undervote
599,997,997,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce",undervote
600,997,997,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
601,997,997,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
602,997,997,"REP Poliquin, Bruce",undervote,undervote,undervote,undervote
603,997,997,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce",undervote
