Cast Vote Record,Precinct,Ballot Style,Rep. to Congress District 2 1st Choice,Rep. to Congress District 2 2nd Choice,Rep. to Congress District 2 3rd Choice,Rep. to Congress District 2 4th Choice,Rep. to Congress District 2 5th Choice
72,998,998,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
73,998,998,"REP Poliquin, Bruce",undervote,undervote,undervote,undervote
74,998,998,"REP Poliquin, Bruce",undervote,undervote,undervote,undervote
75,998,998,"REP Poliquin, Bruce",undervote,undervote,undervote,undervote
76,998,998,undervote,"REP Poliquin, Bruce",undervote,undervote,undervote
77,998,998,"REP Poliquin, Bruce",undervote,undervote,undervote,undervote
78,998,998,"DEM Golden, Jared F.","DEM Golden, Jared F.","DEM Golden, Jared F.","DEM Golden, Jared F.","DEM Golden, Jared F."
79,998,998,"REP Poliquin, Bruce",undervote,"Hoar, William R.S.","Hoar, William R.S.",undervote
80,998,998,"REP Poliquin, Bruce","REP Poliquin, Bruce","REP Poliquin, Bruce","REP Poliquin, Bruce","REP Poliquin, Bruce"
81,998,998,"DEM Golden, Jared F.","Bond, Tiffany L.","DEM Golden, Jared F.","DEM Golden, Jared F.","DEM Golden, Jared F."
82,998,998,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
83,998,998,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
84,998,998,"DEM Golden, Jared F.","Bond, Tiffany L.",undervote,"Hoar, William R.S.",undervote
85,998,998,"REP Poliquin, Bruce",undervote,undervote,undervote,undervote
86,998,998,"REP Poliquin, Bruce",undervote,undervote,undervote,undervote
87,998,998,"REP Poliquin, Bruce","REP Poliquin, Bruce","REP Poliquin, Bruce","REP Poliquin, Bruce","REP Poliquin, Bruce"
88,998,998,"REP Poliquin, Bruce","Bond, Tiffany L.","REP Poliquin, Bruce","REP Poliquin, Bruce","REP Poliquin, Bruce"
89,998,998,"REP Poliquin, Bruce",undervote,undervote,undervote,undervote
90,998,998,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
91,998,998,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
92,998,998,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce",undervote
93,998,998,"REP Poliquin, Bruce",undervote,undervote,undervote,undervote
94,998,998,"REP Poliquin, Bruce",undervote,undervote,undervote,undervote
95,998,998,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
