Cast Vote Record,Precinct,Ballot Style,Rep. to Congress 1st Choice District 2,Rep. to Congress 2nd Choice District 2,Rep. to Congress 3rd Choice District 2,Rep. to Congress 4th Choice District 2,Rep. to Congress 5th Choice District 2
2841,Blue Hill,CAN Ballot Style 53,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
2843,Blue Hill,CAN Ballot Style 53,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote,undervote
2847,Blue Hill,CAN Ballot Style 53,"REP Poliquin, Bruce (5931)","Hoar, William R.S.","Bond, Tiffany L.",undervote,undervote
2849,Blue Hill,CAN Ballot Style 53,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
2851,Blue Hill,CAN Ballot Style 53,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
2852,Blue Hill,CAN Ballot Style 53,"DEM Golden, Jared F. (5471)","Hoar, William R.S.","Bond, Tiffany L.",undervote,undervote
2853,Blue Hill,CAN Ballot Style 53,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote,undervote
2855,Blue Hill,CAN Ballot Style 53,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.",undervote,undervote,undervote
2856,Blue Hill,CAN Ballot Style 53,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.",undervote,undervote,undervote
2863,Blue Hill,CAN Ballot Style 53,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote,undervote
2864,Blue Hill,CAN Ballot Style 53,"REP Poliquin, Bruce (5931)","Hoar, William R.S.","Bond, Tiffany L.","DEM Golden, Jared F.",undervote
2865,Blue Hill,CAN Ballot Style 53,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote,"REP Poliquin, Bruce"
2866,Blue Hill,CAN Ballot Style 53,"Hoar, William R.S.","REP Poliquin, Bruce",undervote,undervote,undervote
2871,Blue Hill,CAN Ballot Style 53,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote,undervote
2872,Blue Hill,CAN Ballot Style 53,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote,undervote
2876,Blue Hill,CAN Ballot Style 53,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
2877,Blue Hill,CAN Ballot Style 53,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce",undervote
2882,Blue Hill,CAN Ballot Style 53,"DEM Golden, Jared F. (5471)","Hoar, William R.S.",undervote,undervote,undervote
2883,Blue Hill,CAN Ballot Style 53,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
2884,Blue Hill,CAN Ballot Style 53,"DEM Golden, Jared F. (5471)","DEM Golden, Jared F.","DEM Golden, Jared F.","DEM Golden, Jared F.","DEM Golden, Jared F."
2886,Blue Hill,CAN Ballot Style 53,"DEM Golden, Jared F. (5471)","Hoar, William R.S.","Bond, Tiffany L.",undervote,undervote
2888,Blue Hill,CAN Ballot Style 53,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
2889,Blue Hill,CAN Ballot Style 53,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
2891,Blue Hill,CAN Ballot Style 53,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce",undervote
2896,Blue Hill,CAN Ballot Style 53,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.",undervote,undervote,undervote
2897,Blue Hill,CAN Ballot Style 53,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
2898,Blue Hill,CAN Ballot Style 53,"Bond, Tiffany L.","Hoar, William R.S.","DEM Golden, Jared F.","REP Poliquin, Bruce",undervote
2900,Blue Hill,CAN Ballot Style 53,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote,undervote
2903,Blue Hill,CAN Ballot Style 53,"REP Poliquin, Bruce (5931)","Bond, Tiffany L.","DEM Golden, Jared F.",undervote,undervote
2909,Blue Hill,CAN Ballot Style 53,"DEM Golden, Jared F. (5471)",overvote,undervote,undervote,undervote
2910,Blue Hill,CAN Ballot Style 53,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.",undervote,undervote,undervote
2912,Blue Hill,CAN Ballot Style 53,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote,undervote
2914,Blue Hill,CAN Ballot Style 53,"REP Poliquin, Bruce (5931)","Hoar, William R.S.",undervote,undervote,undervote
2915,Blue Hill,CAN Ballot Style 53,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
2916,Blue Hill,CAN Ballot Style 53,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
2918,Blue Hill,CAN Ballot Style 53,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote,undervote
2919,Blue Hill,CAN Ballot Style 53,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
2920,Blue Hill,CAN Ballot Style 53,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
2925,Blue Hill,CAN Ballot Style 53,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.",undervote,undervote,undervote
2926,Blue Hill,CAN Ballot Style 53,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
2928,Blue Hill,CAN Ballot Style 53,"DEM Golden, Jared F. (5471)","Hoar, William R.S.","Bond, Tiffany L.",undervote,undervote
2929,Blue Hill,CAN Ballot Style 53,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
2931,Blue Hill,CAN Ballot Style 53,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
2932,Blue Hill,CAN Ballot Style 53,"DEM Golden, Jared F. (5471)","Hoar, William R.S.","Bond, Tiffany L.",undervote,undervote
2938,Blue Hill,CAN Ballot Style 53,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote,undervote
2939,Blue Hill,CAN Ballot Style 53,"Bond, Tiffany L.",undervote,undervote,undervote,undervote
2940,Blue Hill,CAN Ballot Style 53,"DEM Golden, Jared F. (5471)","Hoar, William R.S.","Bond, Tiffany L.",undervote,undervote
2942,Blue Hill,CAN Ballot Style 53,"Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce","DEM Golden, Jared F.","Hoar, William R.S."
2945,Blue Hill,CAN Ballot Style 53,"DEM Golden, Jared F. (5471)","Hoar, William R.S.","Bond, Tiffany L.",undervote,undervote
2946,Blue Hill,CAN Ballot Style 53,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
2947,Blue Hill,CAN Ballot Style 53,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
2949,Blue Hill,CAN Ballot Style 53,"DEM Golden, Jared F. (5471)","Hoar, William R.S.","REP Poliquin, Bruce","Bond, Tiffany L.",undervote
2950,Blue Hill,CAN Ballot Style 53,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce",undervote
2951,Blue Hill,CAN Ballot Style 53,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.",undervote,undervote,undervote
2952,Blue Hill,CAN Ballot Style 53,"REP Poliquin, Bruce (5931)","Hoar, William R.S.","Bond, Tiffany L.","DEM Golden, Jared F.",undervote
2958,Blue Hill,CAN Ballot Style 53,"DEM Golden, Jared F. (5471)","Hoar, William R.S.","Bond, Tiffany L.","REP Poliquin, Bruce",undervote
2959,Blue Hill,CAN Ballot Style 53,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote,undervote
2962,Blue Hill,CAN Ballot Style 53,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","REP Poliquin, Bruce","Hoar, William R.S.",undervote
2963,Blue Hill,CAN Ballot Style 53,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote,undervote
2964,Blue Hill,CAN Ballot Style 53,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote,undervote
2965,Blue Hill,CAN Ballot Style 53,"DEM Golden, Jared F. (5471)","REP Poliquin, Bruce","Hoar, William R.S.","Bond, Tiffany L.",undervote
2966,Blue Hill,CAN Ballot Style 53,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
2967,Blue Hill,CAN Ballot Style 53,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
2969,Blue Hill,CAN Ballot Style 53,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
2970,Blue Hill,CAN Ballot Style 53,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
2974,Blue Hill,CAN Ballot Style 53,"Bond, Tiffany L.",undervote,undervote,undervote,undervote
2975,Blue Hill,CAN Ballot Style 53,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce",undervote
2978,Blue Hill,CAN Ballot Style 53,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
2979,Blue Hill,CAN Ballot Style 53,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote,undervote
2984,Blue Hill,CAN Ballot Style 53,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote,undervote
2985,Blue Hill,CAN Ballot Style 53,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
2986,Blue Hill,CAN Ballot Style 53,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
2989,Blue Hill,CAN Ballot Style 53,undervote,undervote,undervote,undervote,"REP Poliquin, Bruce"
2990,Blue Hill,CAN Ballot Style 53,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote,undervote
2992,Blue Hill,CAN Ballot Style 53,"DEM Golden, Jared F. (5471)","Hoar, William R.S.","Bond, Tiffany L.",undervote,undervote
2995,Blue Hill,CAN Ballot Style 53,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
2996,Blue Hill,CAN Ballot Style 53,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
3001,Blue Hill,CAN Ballot Style 53,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
3004,Blue Hill,CAN Ballot Style 53,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
3008,Blue Hill,CAN Ballot Style 53,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce",undervote
3009,Blue Hill,CAN Ballot Style 53,"DEM Golden, Jared F. (5471)","REP Poliquin, Bruce",undervote,"Hoar, William R.S.","Bond, Tiffany L."
3011,Blue Hill,CAN Ballot Style 53,"DEM Golden, Jared F. (5471)",undervote,undervote,undervote,undervote
3012,Blue Hill,CAN Ballot Style 53,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce",undervote
3013,Blue Hill,CAN Ballot Style 53,"DEM Golden, Jared F. (5471)","Hoar, William R.S.","Bond, Tiffany L.",undervote,undervote
3014,Blue Hill,CAN Ballot Style 53,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce",undervote
3015,Blue Hill,CAN Ballot Style 53,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
3016,Blue Hill,CAN Ballot Style 53,"REP Poliquin, Bruce (5931)",undervote,undervote,undervote,undervote
3017,Blue Hill,CAN Ballot Style 53,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
3021,Blue Hill,CAN Ballot Style 53,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
3022,Blue Hill,CAN Ballot Style 53,"DEM Golden, Jared F. (5471)","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
