Cast Vote Record,Precinct,Ballot Style,Rep. to Congress District 2 1st Choice,Rep. to Congress District 2 2nd Choice,Rep. to Congress District 2 3rd Choice,Rep. to Congress District 2 4th Choice,Rep. to Congress District 2 5th Choice
8356,127111,UOCAVA,"DEM Golden, Jared F.","Hoar, William R.S.",undervote,undervote,undervote
8358,126111,UOCAVA,"DEM Golden, Jared F.","Bond, Tiffany L.",undervote,undervote,undervote
8364,127111,UOCAVA,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
8366,130111,UOCAVA,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
8368,126111,UOCAVA,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce",undervote
8370,46111,UOCAVA,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
8374,139111,UOCAVA,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
8378,457111,UOCAVA,"DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L.","REP Poliquin, Bruce",undervote
8380,44111,UOCAVA,"REP Poliquin, Bruce","DEM Golden, Jared F.","Hoar, William R.S.","Bond, Tiffany L.",undervote
8382,164111,UOCAVA,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
8388,513111,UOCAVA,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
8390,160111,UOCAVA,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote
8400,400111,UOCAVA,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
8402,178111,UOCAVA,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
8404,327111,UOCAVA,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
8406,126111,UOCAVA,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
8408,147111,UOCAVA,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
8410,510111,UOCAVA,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
8412,146111,UOCAVA,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
8414,510113,UOCAVA,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
8420,392111,UOCAVA,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
8422,513111,UOCAVA,"REP Poliquin, Bruce","Bond, Tiffany L.",undervote,undervote,undervote
8424,459111,UOCAVA,"DEM Golden, Jared F.","Bond, Tiffany L.",undervote,"Hoar, William R.S.","REP Poliquin, Bruce"
8426,510111,UOCAVA,"REP Poliquin, Bruce","Hoar, William R.S.","DEM Golden, Jared F.","Bond, Tiffany L.",undervote
8428,154111,UOCAVA,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce",undervote
8430,281111,UOCAVA,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce",undervote
8432,503111,UOCAVA,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
8434,510112,UOCAVA,"DEM Golden, Jared F.",undervote,undervote,undervote,undervote
